flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,flight.codeshared
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,3,17,11.0,2025-07-30T08:20:00+00:00,2025-07-30T08:20:00+00:00,2025-07-30T08:30:00+00:00,2025-07-30T08:30:00+00:00,2025-07-30T08:30:00+00:00,Orlando International,America/New_York,MCO,KMCO,A,81,8A,2025-07-30T13:05:00+00:00,,,,,,Virgin Atlantic,VS,VIR,91,VS91,VIR91,,,,,,,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,C61,20.0,2025-07-30T08:20:00+00:00,2025-07-30T08:20:00+00:00,,,,John F Kennedy International,America/New_York,JFK,KJFK,8,,,2025-07-30T11:05:00+00:00,,,,,,Finnair,AY,FIN,5517,AY5517,FIN5517,british airways,ba,baw,117,ba117,baw117,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,C61,20.0,2025-07-30T08:20:00+00:00,2025-07-30T08:20:00+00:00,,,,John F Kennedy International,America/New_York,JFK,KJFK,8,,,2025-07-30T11:05:00+00:00,,,,,,Aer Lingus,EI,EIN,8817,EI8817,EIN8817,british airways,ba,baw,117,ba117,baw117,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,C61,20.0,2025-07-30T08:20:00+00:00,2025-07-30T08:20:00+00:00,,,,John F Kennedy International,America/New_York,JFK,KJFK,8,,,2025-07-30T11:05:00+00:00,,,,,,American Airlines,AA,AAL,6930,AA6930,AAL6930,british airways,ba,baw,117,ba117,baw117,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,C61,20.0,2025-07-30T08:20:00+00:00,2025-07-30T08:20:00+00:00,,,,John F Kennedy International,America/New_York,JFK,KJFK,8,,,2025-07-30T11:05:00+00:00,,,,,,Iberia,IB,IBE,3545,IB3545,IBE3545,british airways,ba,baw,117,ba117,baw117,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,C61,20.0,2025-07-30T08:20:00+00:00,2025-07-30T08:20:00+00:00,,,,John F Kennedy International,America/New_York,JFK,KJFK,8,,,2025-07-30T11:05:00+00:00,,,,,,AlphaSky,AS,JAG,5255,AS5255,JAG5255,british airways,ba,baw,117,ba117,baw117,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,C61,20.0,2025-07-30T08:20:00+00:00,2025-07-30T08:20:00+00:00,,,,John F Kennedy International,America/New_York,JFK,KJFK,8,,,2025-07-30T11:05:00+00:00,,,,,,British Airways,BA,BAW,117,BA117,BAW117,,,,,,,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,2,A17,19.0,2025-07-30T08:25:00+00:00,2025-07-30T08:25:00+00:00,2025-07-30T08:44:00+00:00,2025-07-30T08:44:00+00:00,2025-07-30T08:44:00+00:00,Logan International,America/New_York,BOS,KBOS,E,E3,3,2025-07-30T11:10:00+00:00,,,,,,TAP Air Portugal,TP,TAP,4289,TP4289,TAP4289,jetblue airways,b6,jbu,1621,b61621,jbu1621,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,2,B33,74.0,2025-07-30T10:35:00+00:00,2025-07-30T10:35:00+00:00,,,,San Francisco International,America/Los_Angeles,SFO,KSFO,I,G1,CL6,2025-07-30T13:35:00+00:00,,,,,,Air Canada,AC,ACA,5375,AC5375,ACA5375,united airlines,ua,ual,900,ua900,ual900,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,2,B33,74.0,2025-07-30T10:35:00+00:00,2025-07-30T10:35:00+00:00,,,,San Francisco International,America/Los_Angeles,SFO,KSFO,I,G1,CL6,2025-07-30T13:35:00+00:00,,,,,,Lufthansa,LH,DLH,9374,LH9374,DLH9374,united airlines,ua,ual,900,ua900,ual900,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,2,B33,74.0,2025-07-30T10:35:00+00:00,2025-07-30T10:35:00+00:00,,,,San Francisco International,America/Los_Angeles,SFO,KSFO,I,G1,CL6,2025-07-30T13:35:00+00:00,,,,,,SWISS,LX,SWR,3042,LX3042,SWR3042,united airlines,ua,ual,900,ua900,ual900,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,2,B33,74.0,2025-07-30T10:35:00+00:00,2025-07-30T10:35:00+00:00,,,,San Francisco International,America/Los_Angeles,SFO,KSFO,I,G1,CL6,2025-07-30T13:35:00+00:00,,,,,,Air New Zealand,NZ,ANZ,9831,NZ9831,ANZ9831,united airlines,ua,ual,900,ua900,ual900,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,2,B33,74.0,2025-07-30T10:35:00+00:00,2025-07-30T10:35:00+00:00,,,,San Francisco International,America/Los_Angeles,SFO,KSFO,I,G1,CL6,2025-07-30T13:35:00+00:00,,,,,,Austrian,OS,AUA,7857,OS7857,AUA7857,united airlines,ua,ual,900,ua900,ual900,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,2,B33,74.0,2025-07-30T10:35:00+00:00,2025-07-30T10:35:00+00:00,,,,San Francisco International,America/Los_Angeles,SFO,KSFO,I,G1,CL6,2025-07-30T13:35:00+00:00,,,,,,Brussels Airlines,SN,BEL,9099,SN9099,BEL9099,united airlines,ua,ual,900,ua900,ual900,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,A10,50.0,2025-07-30T08:15:00+00:00,2025-07-30T08:15:00+00:00,2025-07-30T09:05:00+00:00,2025-07-30T09:05:00+00:00,2025-07-30T09:05:00+00:00,Euroairport Swiss,Europe/Zurich,BSL,LFSB,,,4,2025-07-30T10:55:00+00:00,20.0,,,,,Qantas,QF,QFA,3544,QF3544,QFA3544,british airways,ba,baw,752,ba752,baw752,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,A10,50.0,2025-07-30T08:15:00+00:00,2025-07-30T08:15:00+00:00,2025-07-30T09:05:00+00:00,2025-07-30T09:05:00+00:00,2025-07-30T09:05:00+00:00,Euroairport Swiss,Europe/Zurich,BSL,LFSB,,,4,2025-07-30T10:55:00+00:00,20.0,,,,,Qatar Airways,QR,QTR,5935,QR5935,QTR5935,british airways,ba,baw,752,ba752,baw752,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,A10,50.0,2025-07-30T08:15:00+00:00,2025-07-30T08:15:00+00:00,2025-07-30T09:05:00+00:00,2025-07-30T09:05:00+00:00,2025-07-30T09:05:00+00:00,Euroairport Swiss,Europe/Zurich,BSL,LFSB,,,4,2025-07-30T10:55:00+00:00,20.0,,,,,British Airways,BA,BAW,752,BA752,BAW752,,,,,,,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,C63,,2025-07-30T10:45:00+00:00,2025-07-30T10:45:00+00:00,,,,San Francisco International,America/Los_Angeles,SFO,KSFO,I,,CL9,2025-07-30T13:50:00+00:00,,,,,,Finnair,AY,FIN,5525,AY5525,FIN5525,british airways,ba,baw,285,ba285,baw285,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,C63,,2025-07-30T10:45:00+00:00,2025-07-30T10:45:00+00:00,,,,San Francisco International,America/Los_Angeles,SFO,KSFO,I,,CL9,2025-07-30T13:50:00+00:00,,,,,,Aer Lingus,EI,EIN,8985,EI8985,EIN8985,british airways,ba,baw,285,ba285,baw285,
2025-07-30,active,,,Heathrow,Europe/London,LHR,EGLL,5,C63,,2025-07-30T10:45:00+00:00,2025-07-30T10:45:00+00:00,,,,San Francisco International,America/Los_Angeles,SFO,KSFO,I,,CL9,2025-07-30T13:50:00+00:00,,,,,,Iberia,IB,IBE,3626,IB3626,IBE3626,british airways,ba,baw,285,ba285,baw285,
