icao24,callsign,country_icao,time_at_position,longitude,latitude,altitude,on_ground,speed_kmh,true_track,vertical_rate,sensors,geo_altitude,spi,located_at
346613,VOE2633 ,Spain,12:18:04,12.7601,45.8736,11582.4,False,200.44,315.31,0.0,,12092.94,False,Venice Marco Polo Airport
4ab821,NSZ32JW ,Sweden,12:18:05,5.4567,51.7294,12192.0,False,232.51,218.44,0.0,,12550.14,False,Eindhoven Airport
4bb202,THY1KV  ,Turkey,12:18:04,19.2006,47.5068,10058.4,False,262.28,134.92,0.0,,10469.88,False,Budapest Liszt Ferenc International Airport
3d214c,DEKWA   ,Germany,12:18:05,7.8877,49.8747,845.82,False,65.36,115.15,-0.33,,982.98,False,Frankfurt Airport
4bb20e,THY4QR  ,Turkey,12:18:04,6.7048,47.3997,10363.2,False,211.07,281.53,0.0,,10812.78,False,EuroAirport Basel-Mulhouse-Freiburg
4bb20b,THY8WU  ,Turkey,12:18:04,11.9931,50.6706,10363.2,False,204.45,300.05,0.0,,10683.24,False,Leipzig/Halle Airport
489224,ENT4163 ,Poland,12:16:24,18.453,52.4796,6416.04,False,217.73,151.8,12.03,,6522.72,False,Warsaw Chopin Airport
4bb14e,THY6147 ,Turkey,12:18:04,10.8713,47.6831,8991.6,False,190.82,280.25,-4.23,,9372.6,False,Munich Airport
4067ee,TOM5JL  ,United Kingdom,12:18:05,15.044,46.0102,11582.4,False,201.19,303.0,0.0,,12085.32,False,Ljubljana Jože Pučnik Airport
4bb162,THY22N  ,Turkey,12:18:03,18.3545,46.1474,10668.0,False,279.16,118.03,0.0,,11132.82,False,Budapest Liszt Ferenc International Airport
4bb19a,THY1MP  ,Turkey,12:18:04,19.282,49.9114,11879.58,False,257.2,135.73,0.0,,12230.1,False,Kraków John Paul II International Airport
896535,ETD69W  ,United Arab Emirates,12:18:04,11.6423,49.454,11582.4,False,221.77,292.94,-0.33,,11971.02,False,Nuremberg Airport
89652d,ABY794  ,United Arab Emirates,12:18:04,16.3824,45.216,10050.78,False,256.82,91.72,0.0,,10538.46,False,Zagreb Franjo Tuđman International Airport
4bb199,THY3DZ  ,Turkey,12:18:04,14.9851,48.2184,11582.4,False,223.7,295.03,-0.33,,12001.5,False,Vienna International Airport
4ac9c6,BLX378  ,Sweden,11:52:32,18.5729,52.4568,11582.4,False,240.68,346.02,-0.33,,11811.0,False,Warsaw Chopin Airport
896517,FDB92F  ,United Arab Emirates,12:18:02,16.8407,52.4183,,True,2.57,326.25,,,,False,Berlin Brandenburg Airport
4ac9eb,SAS81T  ,Sweden,12:18:04,17.8259,50.2776,11590.02,False,234.77,335.12,0.33,,11902.44,False,Kraków John Paul II International Airport
4ac9ed,SAS4881 ,Sweden,12:18:04,15.6346,52.5376,11902.44,False,243.33,170.14,0.0,,12131.04,False,Berlin Brandenburg Airport
4b1f94,HBLYY   ,Switzerland,12:18:03,6.145,50.3048,5074.92,False,104.61,219.01,-3.9,,5311.14,False,Luxembourg-Findel International Airport
3e0fe2,CHX80   ,Germany,12:13:15,12.106,49.6884,320.04,True,40.44,143.28,-3.25,,,False,Nuremberg Airport
3e0fe4,CHX82   ,Germany,12:16:46,12.7106,52.4362,167.64,False,64.11,80.76,-0.65,,297.18,False,Berlin Brandenburg Airport
3ec93f,DKRED   ,Germany,12:18:03,12.1473,50.7171,1592.58,False,42.33,295.94,-0.33,,1775.46,False,Leipzig/Halle Airport
4d02c3,JFA17X  ,Luxembourg,12:18:04,7.0351,46.4881,2750.82,False,73.05,269.6,7.48,,2964.18,False,Geneva Cointrin International Airport
3e0fdf,CHX45   ,Germany,12:12:51,9.4283,47.6732,,True,2.31,5.62,,,,False,Zürich Airport
4d02a4,JFA82L  ,Luxembourg,12:18:04,5.95,46.5678,5120.64,False,83.32,320.51,6.18,,5425.44,False,Geneva Cointrin International Airport
506d8c,S5CEE   ,Slovenia,12:18:05,8.6439,49.0193,3985.26,False,112.83,208.9,-1.63,,4213.86,False,Stuttgart Airport
89644b,UAE214  ,United Arab Emirates,12:18:04,11.6435,47.3859,10668.0,False,284.89,107.55,0.0,,11117.58,False,Munich Airport
896458,A6EUC   ,United Arab Emirates,12:18:02,8.5511,47.4618,342.9,True,0.0,154.69,,,,False,Zürich Airport
89641b,ROJ022  ,United Arab Emirates,12:18:04,7.4003,50.4124,13098.78,False,229.22,290.63,0.0,,13517.88,False,Cologne Bonn Airport
38dfff,BUS02   ,France,12:15:46,7.5321,47.5979,,True,3.6,154.69,,,,False,EuroAirport Basel-Mulhouse-Freiburg
4d02e3,JFA38T  ,Luxembourg,12:18:03,10.9734,48.1168,4404.36,False,76.45,306.79,7.8,,4671.06,False,Munich Airport
3d206e,DEKNM   ,Germany,12:14:21,13.343,49.4512,609.6,False,72.04,96.97,-4.23,,769.62,False,Václav Havel Airport Prague
781e49,CCA828  ,China,11:14:58,17.5351,52.8278,11277.6,False,271.83,37.0,0.0,,11452.86,False,Gdańsk Lech Wałęsa Airport
738447,AIZ741  ,Israel,12:18:04,5.09,47.7644,10073.64,False,214.39,311.11,-5.53,,10515.6,False,EuroAirport Basel-Mulhouse-Freiburg
740734,RJA129  ,Jordan,12:18:04,9.7076,50.7877,9890.76,False,194.73,288.48,-6.5,,10218.42,False,Frankfurt Airport
781e95,CAO3154 ,China,12:18:04,10.5504,52.6906,10668.0,False,275.74,89.79,0.0,,10904.22,False,Hannover Airport
3ff9a5,DMZMA   ,Germany,12:17:54,7.9411,50.2028,601.98,False,42.7,323.82,-0.33,,,False,Frankfurt Airport
c023bd,ACA899  ,Canada,11:54:46,19.9535,54.8292,9753.6,False,259.74,314.52,0.0,,,False,Gdańsk Lech Wałęsa Airport
3c49c9,EWG76M  ,Germany,12:18:04,12.9685,47.7007,3398.52,False,141.99,332.14,-10.08,,3634.74,False,Munich Airport
485ea6,PHANK   ,Kingdom of the Netherlands,12:18:04,5.002,50.2619,640.08,False,51.25,35.6,-1.63,,792.48,False,Brussels Airport
3c49cb,EWG24EK ,Germany,12:18:05,10.744,46.1004,11590.02,False,240.19,26.18,0.0,,12108.18,False,Verona Villafranca Valerio Catullo Airport
4bb029,TKJ37F  ,Turkey,12:18:03,13.2586,47.8978,10668.0,False,270.91,114.81,0.0,,11087.1,False,Munich Airport
4bb026,TKJ18A  ,Turkey,12:18:04,10.0241,48.8171,4686.3,False,194.03,103.34,11.38,,4937.76,False,Stuttgart Airport
781f2e,CCA446  ,China,12:18:04,11.7159,51.337,11277.6,False,272.28,58.44,0.0,,11551.92,False,Leipzig/Halle Airport
781f2d,CCA578  ,China,12:18:04,10.8416,46.3623,10972.8,False,265.22,30.54,0.0,,11452.86,False,Verona Villafranca Valerio Catullo Airport
4910f7,VVV141  ,Portugal,12:18:04,9.1479,46.9371,10058.4,False,247.97,126.39,0.33,,10477.5,False,Zürich Airport
3ddc6b,CHX43   ,Germany,12:17:10,8.3756,48.9993,114.3,False,58.25,218.19,-2.28,,403.86,False,Stuttgart Airport
3ddc75,CHX55   ,Germany,12:14:28,8.789,53.0489,-53.34,False,7.28,278.13,-1.63,,83.82,False,Hannover Airport
3ddc74,DHDSU   ,Germany,12:17:32,7.8325,48.3751,99.06,False,15.19,28.3,-2.6,,243.84,False,EuroAirport Basel-Mulhouse-Freiburg
780aa8,CPA014  ,China,12:18:04,8.7217,45.6145,,True,3.86,168.75,,,,False,Milan Malpensa International Airport
40653a,EZY18KJ ,United Kingdom,12:18:04,7.2771,47.5128,10972.8,False,200.84,286.67,0.0,,11430.0,False,EuroAirport Basel-Mulhouse-Freiburg
4c8090,CYP381  ,Cyprus,12:18:04,12.8795,45.1704,10668.0,False,257.46,125.98,-0.33,,11186.16,False,Venice Marco Polo Airport
780abc,CPA216  ,China,12:18:04,18.3417,47.2721,11277.6,False,271.48,116.81,0.0,,11719.56,False,Budapest Liszt Ferenc International Airport
4b1e44,HBLMA   ,Switzerland,12:18:05,6.1073,47.197,624.84,False,62.87,233.32,-2.6,,769.62,False,Geneva Cointrin International Airport
4b1e46,HBLMC   ,Switzerland,12:17:09,6.058,47.1938,480.06,False,42.75,50.37,-6.18,,632.46,False,Geneva Cointrin International Airport
345042,VLG21ER ,Spain,12:18:04,8.5851,45.3432,1341.12,False,130.68,82.76,-2.6,,1493.52,False,Milan Malpensa International Airport
3ddc4b,CHX83   ,Germany,12:18:04,7.4518,51.5089,243.84,False,51.02,3.47,-2.93,,388.62,False,Düsseldorf Airport
3e0f94,CHX18   ,Germany,12:13:37,9.9714,49.7791,342.9,False,65.51,344.98,-1.3,,495.3,False,Nuremberg Airport
3ff9c9,DMYCR   ,Germany,12:18:05,8.5774,51.9861,1234.44,False,66.88,345.75,-0.65,,1371.6,False,Hannover Airport
4ac8e4,SAS29Z  ,Sweden,12:18:04,11.2835,54.3575,8359.14,False,213.32,34.19,7.8,,8496.3,False,Hamburg Helmut Schmidt Airport
4ac8e5,BIX55A  ,Sweden,12:18:04,16.4471,51.6017,11590.02,False,227.19,327.39,0.0,,11856.72,False,Berlin Brandenburg Airport
40658a,CFE37Y  ,United Kingdom,12:18:05,8.5577,47.4638,342.9,True,6.94,149.06,,,,False,Zürich Airport
